"date","geography","geography code","Age: Total","Age: Aged 4 years and under","Age: Aged 5 to 9 years","Age: Aged 10 to 14 years","Age: Aged 15 to 19 years","Age: Aged 20 to 24 years","Age: Aged 25 to 29 years","Age: Aged 30 to 34 years","Age: Aged 35 to 39 years","Age: Aged 40 to 44 years","Age: Aged 45 to 49 years","Age: Aged 50 to 54 years","Age: Aged 55 to 59 years","Age: Aged 60 to 64 years","Age: Aged 65 to 69 years","Age: Aged 70 to 74 years","Age: Aged 75 to 79 years","Age: Aged 80 to 84 years","Age: Aged 85 years and over"
2021,"Bexley 002","E02000066",9430,575,711,744,660,584,628,632,618,679,671,707,659,517,337,296,193,135,84
2021,"Bexley 003","E02000067",10230,760,755,685,571,585,801,934,851,784,672,666,604,468,336,297,203,134,124
2021,"Bexley 004","E02000068",8176,691,698,650,490,477,580,690,676,576,566,475,447,351,249,179,127,134,120
2021,"Bexley 005","E02000069",7212,500,501,452,363,382,509,560,563,477,458,424,467,369,319,296,215,183,174
2021,"Bexley 006","E02000070",8107,471,480,514,415,412,439,497,544,536,489,600,594,514,394,420,328,224,236
2021,"Bexley 007","E02000071",7673,454,526,589,516,440,443,478,517,517,525,571,493,442,345,322,201,170,124
2021,"Bexley 008","E02000072",12926,1011,1093,1127,876,785,886,1006,969,985,940,915,784,531,334,247,156,152,129
2021,"Bexley 009","E02000073",10725,586,628,676,610,593,539,632,723,745,679,787,834,610,523,562,384,330,284
2021,"Bexley 010","E02000074",8863,564,657,666,532,472,603,662,627,615,574,597,590,476,344,345,224,174,141
2021,"Bexley 011","E02000075",7982,372,477,451,414,395,367,468,497,527,456,563,585,519,479,503,359,275,275
2021,"Bexley 013","E02000077",8142,470,473,532,511,440,464,526,632,620,500,599,550,462,329,364,235,229,206
2021,"Bexley 014","E02000078",7934,498,519,434,406,390,455,572,575,572,495,538,542,425,411,380,290,226,206
